thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,pinky_x,pinky_y,pinky_z,alphabet
1.0578613,0.11254883,-0.24389648,-0.90112308,0.183349616,-0.29858398,-0.93725584,0.0397949216,-0.09448242,-1.0871582,0.17138672,0.08984375,-1.0876465,0.17211914,0.08520508,A
1.0563965,0.10571289,-0.21801758,-0.90283204,0.19262696,-0.3076172,-0.9355469,0.049804688,-0.11206055,-1.0837402,0.1772461,0.09057617,-1.0825195,0.18066406,0.0871582,A
1.0510254,0.095703128,-0.239257808,-0.90112308,0.18481446,-0.30908204,-0.934082064,0.036621092,-0.10668945,-1.0922852,0.17358398,0.08496094,-1.0893555,0.17163086,0.09277344,A
1.0561524,0.107666016,-0.24975586,-0.90527348,0.17333984,-0.30493164,-0.93115232,0.03100586,-0.10888672,-1.0837402,0.1574707,0.08959961,-1.0905762,0.16186524,0.09106445,A
1.0522461,0.08154297,-0.24267578,-0.892334,0.1706543,-0.3173828,-0.92211912,0.037353516,-0.119628904,-1.0825195,0.15283203,0.072021484,-1.0898438,0.15185547,0.068847656,A
1.0483398,0.08251953,-0.24169922,-0.8876953,0.17944336,-0.30688476,-0.9211426,0.03930664,-0.114990232,-1.0842285,0.16479492,0.088378904,-1.0837402,0.16430664,0.084228516,A
1.0666504,0.10229492,-0.237548832,-0.8991699,0.17700196,-0.31469728,-0.9309082,0.030273438,-0.111328132,-1.0834961,0.15698242,0.0859375,-1.0859375,0.15649414,0.08203125,A
1.0563965,0.0922851568,-0.24267578,-0.89990232,0.17773438,-0.3088379,-0.9343262,0.026367188,-0.11645508,-1.0942383,0.16186524,0.08496094,-1.0922852,0.168212892,0.08569336,A
1.0634766,0.111572264,-0.22583008,-0.904541,0.19384766,-0.29492188,-0.93359376,0.04296875,-0.09716797,-1.0847168,0.1809082,0.10131836,-1.0861816,0.1850586,0.09741211,A
1.0595703,0.13354492,-0.239013668,-0.911865232,0.1940918,-0.29370116,-0.9370117,0.048583984,-0.09887695,-1.0861816,0.17700196,0.09765625,-1.0908203,0.18115234,0.10253906,A
1.0605469,0.10864258,-0.24243164,-0.9033203,0.183593744,-0.29614258,-0.93310544,0.037841796,-0.09375,-1.0888672,0.17407226,0.10083008,-1.0905762,0.17163086,0.09887695,A
1.0571289,0.1015625,-0.25,-0.89746092,0.175292976,-0.2980957,-0.9284668,0.030761718,-0.09716797,-1.088623,0.16455078,0.08911133,-1.0874024,0.16235352,0.08911133,A
1.0498047,0.09814453,-0.23657226,-0.90234376,0.18164062,-0.30859376,-0.92944332,0.037597656,-0.111083984,-1.0861816,0.16601562,0.091308592,-1.0852051,0.16381836,0.084472652,A
1.0495606,0.09326172,-0.231445316,-0.89282224,0.1809082,-0.31054688,-0.921875,0.041992188,-0.12451172,-1.0837402,0.16430664,0.07763672,-1.0803223,0.16577148,0.075927736,A
1.0449219,0.091796872,-0.24291992,-0.8911133,0.18164062,-0.3149414,-0.923584,0.03881836,-0.12426758,-1.0852051,0.16259766,0.072265624,-1.0856934,0.16503906,0.08251953,A
1.057373,0.0859375,-0.24438476,-0.8959961,0.1743164,-0.31274414,-0.929931664,0.033691408,-0.11645508,-1.0847168,0.15820312,0.07910156,-1.0876465,0.15820312,0.08276367,A
1.0527344,0.08251953,-0.24169922,-0.89624024,0.175537108,-0.31323242,-0.925781264,0.033691408,-0.11694336,-1.0869141,0.15893554,0.08105469,-1.0859375,0.16186524,0.083740232,A
1.0566406,0.09692383,-0.23461914,-0.9042969,0.183105468,-0.30664062,-0.92871096,0.03173828,-0.10961914,-1.0842285,0.16088867,0.08178711,-1.0871582,0.16113281,0.0793457,A
1.0532226,0.0847168,-0.2331543,-0.889648464,0.18798828,-0.31713868,-0.9316406,0.045654296,-0.111816408,-1.0825195,0.17041016,0.08496094,-1.083252,0.175292976,0.08227539,A
1.0661621,0.11401367,-0.238281252,-0.9042969,0.17895508,-0.31274414,-0.934082064,0.03173828,-0.107421868,-1.0900879,0.16552734,0.08105469,-1.0895996,0.16723633,0.08642578,A
1.0634766,0.09448242,-0.230957032,-0.90600584,0.176513668,-0.31298828,-0.9301758,0.03173828,-0.118896488,-1.0822754,0.15478516,0.083740232,-1.0849609,0.15795898,0.07739258,A
1.0612793,0.07885742,-0.22973633,-0.8984375,0.18066406,-0.31860352,-0.92822264,0.040527344,-0.11303711,-1.0883789,0.15673828,0.08154297,-1.0834961,0.16113281,0.08203125,A
1.0505371,0.087646488,-0.23461914,-0.8937988,0.17382812,-0.31713868,-0.9272461,0.033691408,-0.12475586,-1.0808106,0.15209961,0.072509768,-1.078125,0.1538086,0.07763672,A
1.060791,0.07885742,-0.231445316,-0.8979492,0.183349616,-0.32543944,-0.93847656,0.044433592,-0.12036133,-1.0883789,0.1652832,0.072021484,-1.0871582,0.16333008,0.06933594,A
