x,y,z
0.9602051,0.10961914,-0.41845704
0.9650879,0.10620117,-0.41064452
0.9628906,0.114746092,-0.407958968
0.9626465,0.10888672,-0.399414036
0.9655762,0.104003908,-0.4177246
0.9626465,0.10205078,-0.40673828
0.967285168,0.10131836,-0.398925784
0.95947268,0.11425781,-0.42041016
0.9602051,0.11230469,-0.41479492
0.96069336,0.10131836,-0.40673828
0.96191408,0.10961914,-0.422119136
0.9614258,0.1159668,-0.40844728
0.95947268,0.10253906,-0.421142584
0.96240232,0.115234376,-0.4194336
0.9633789,0.11303711,-0.40844728
0.9609375,0.10571289,-0.4038086
0.958251968,0.10546875,-0.42407228
0.963134768,0.09790039,-0.4111328
0.9641113,0.10131836,-0.41235352
0.96191408,0.10253906,-0.415039068
0.9645996,0.10571289,-0.4074707
0.96191408,0.11987305,-0.41967772
0.96240232,0.10180664,-0.41381836
0.96362308,0.10595703,-0.3955078
0.9580078,0.10229492,-0.42089844
0.9655762,0.11010742,-0.4194336
0.95947268,0.103271484,-0.42041016
0.9641113,0.106933592,-0.40942384
0.9628906,0.10473633,-0.41015624
0.9597168,0.10131836,-0.4206543
0.96435544,0.099609376,-0.4206543
0.9638672,0.09765625,-0.40307616
0.95996092,0.10668945,-0.41552734
0.9633789,0.111816408,-0.40307616
0.95581052,0.11254883,-0.41845704
0.9633789,0.11450195,-0.39868164
0.9592285,0.10253906,-0.413574216
0.95581052,0.104003908,-0.42749024
0.96069336,0.10644531,-0.42333984
0.9621582,0.100097656,-0.40722656
0.96069336,0.10449219,-0.416015632
0.9638672,0.104003908,-0.40893556
0.96606448,0.09790039,-0.40820312
0.96191408,0.1081543,-0.39916992
0.96484376,0.11035156,-0.40161132
0.961181632,0.10180664,-0.4182129
0.96240232,0.109375,-0.4033203
0.9667969,0.10791016,-0.3996582
0.9616699,0.1015625,-0.4116211
0.9621582,0.09716797,-0.40844728
0.9597168,0.099853512,-0.413085936
0.9602051,0.10253906,-0.41186524
0.9577637,0.10058594,-0.42407228
0.9589844,0.10522461,-0.42749024
0.95874024,0.115234376,-0.42138672
0.96069336,0.103515624,-0.412109368
0.96191408,0.114746092,-0.41577148
0.9597168,0.1159668,-0.4284668
0.96069336,0.10205078,-0.42236328
0.9602051,0.111816408,-0.404541032
0.9626465,0.10229492,-0.4008789
0.9621582,0.09301758,-0.40771484
0.96191408,0.10864258,-0.43481444
0.961181632,0.10205078,-0.41333008
0.961181632,0.118652344,-0.4152832
0.9621582,0.111816408,-0.41748048
0.95654296,0.10205078,-0.4104004
0.9655762,0.11767578,-0.41235352
0.96777348,0.1003418,-0.4091797
0.9614258,0.09814453,-0.41845704
0.9628906,0.084228516,-0.40771484
0.967041,0.103759768,-0.40893556
0.9650879,0.10986328,-0.40820312
0.9592285,0.10449219,-0.413574216
0.96240232,0.1003418,-0.40942384
0.96484376,0.103515624,-0.40893556
0.9655762,0.109375,-0.42089844
0.9602051,0.10083008,-0.4116211
0.965332032,0.09741211,-0.40893556
0.961181632,0.11035156,-0.413574216
0.96655272,0.10473633,-0.40478516
0.9589844,0.09448242,-0.41088868
0.9616699,0.09692383,-0.40625
0.9650879,0.0922851568,-0.399902336
0.96655272,0.106933592,-0.40893556
0.9589844,0.10131836,-0.4152832
0.96240232,0.10229492,-0.41137696
0.95947268,0.10864258,-0.414550768
0.9567871,0.10424805,-0.420166032
0.95654296,0.10083008,-0.40527344
0.9602051,0.09667969,-0.421142584
0.9602051,0.09765625,-0.4243164
0.9604492,0.09887695,-0.42456056
0.9560547,0.099121096,-0.41992188
0.9638672,0.111572264,-0.41723632
0.958251968,0.10546875,-0.4255371
0.961181632,0.09057617,-0.415039068
0.9675293,0.103271484,-0.40478516
0.9641113,0.11303711,-0.41845704
0.95947268,0.092041016,-0.4116211
0.9538574,0.091796872,-0.4321289
0.95947268,0.0922851568,-0.413085936
0.9577637,0.09790039,-0.412109368
0.9597168,0.10180664,-0.41625976
0.954834,0.099365232,-0.4321289
0.96069336,0.10522461,-0.406982432
0.9562988,0.091796872,-0.4206543
0.9584961,0.09790039,-0.40893556
0.96069336,0.09838867,-0.41723632
0.96069336,0.10131836,-0.4152832
0.9572754,0.099853512,-0.41992188
0.963134768,0.107421868,-0.406494136
0.9641113,0.10522461,-0.412109368
0.95947268,0.10546875,-0.4116211
0.95654296,0.09350586,-0.40966796
0.9641113,0.104003908,-0.4177246
0.9604492,0.09106445,-0.415039068
0.9597168,0.08105469,-0.43481444
0.9562988,0.07519531,-0.4399414
0.9602051,0.088378904,-0.43164062
0.957031232,0.092041016,-0.406005868
0.9597168,0.1003418,-0.40722656
0.96777348,0.10180664,-0.40942384
0.96484376,0.107177736,-0.398925784
0.9614258,0.1081543,-0.42041016
0.9589844,0.092041016,-0.42651368
0.9562988,0.099853512,-0.43188476
0.9626465,0.0949707,-0.413085936
0.9628906,0.091552732,-0.40942384
0.9641113,0.09838867,-0.4091797
0.9604492,0.09448242,-0.40893556
0.96069336,0.09106445,-0.41088868
0.9658203,0.1105957,-0.39868164
0.9655762,0.1105957,-0.391357416
0.9645996,0.10498047,-0.400390632
0.961181632,0.09667969,-0.40625
0.9645996,0.095947268,-0.406494136
0.9645996,0.099609376,-0.40625
0.96191408,0.09887695,-0.4152832
0.9560547,0.095458984,-0.415039068
0.9616699,0.104003908,-0.41992188
0.9621582,0.09082031,-0.42578124
0.9614258,0.0949707,-0.421142584
0.96191408,0.09863281,-0.41992188
0.97875976,0.107421868,-0.39453124
0.9604492,0.0871582,-0.41064452
1.0,0.2746582,-0.447265632
0.9609375,0.099121096,-0.37353516
0.98461912,0.1394043,-0.28515624
1.0058594,0.18798828,-0.30200196
0.9831543,0.076171868,-0.31811524
1.0124512,0.168457032,-0.24853516
1.0097656,0.13183594,-0.246582032
1.0107422,0.14819336,-0.21899414
1.0026856,0.14038086,-0.2553711
1.0195312,0.14135742,-0.23632812
1.0192871,0.13378906,-0.21923828
1.0229492,0.17700196,-0.20947266
1.0251465,0.14111328,-0.2055664
1.0114746,0.12817383,-0.22509766
1.020752,0.16308594,-0.23632812
1.0327148,0.13867188,-0.19702148
1.0192871,0.13500976,-0.1977539
1.0148926,0.15625,-0.22436524
1.0300293,0.1430664,-0.18725586
1.0102539,0.14770508,-0.22631836
1.0212402,0.15234375,-0.213867184
1.0297852,0.14697266,-0.1809082
1.0285644,0.168945316,-0.15942383
1.0266113,0.15014648,-0.1743164
1.027832,0.15698242,-0.15454102
1.0307617,0.16259766,-0.17700196
